Detecting Obfuscated Command Samples1 (Win10)...
0% 1% 2% 4% 5% 7% 8% 10% 11% 13% 14% 16% 17% 19% 20% 22% 23% 25% 26% 28% 29% 31% 32% 34% 35% 37% 38% 40% 41% 43% 44% 46% 47% 49% 50% 51% 53% 54% 56% 57% 59% 60% 62% 63% 65% 66% 68% 69% 71% 72% 74% 75% 77% 78% 80% 81% 83% 84% 86% 87% 89% 90% 92% 93% 95% 96% 98% 99% 
threshold: 0.9500000000000003, tpr:0.21804511278195488, fpr: 0.0, acc:0.6521739130434783
threshold: 1.0000000000000002, tpr:0.0, fpr: 0.0, acc:0.5551839464882943
Point4, AvgUnknownCharCount:2.173913, maxAvgAcc: 0.9431438127090301, unknownOfCommandAvg: 0.07517559248790807, unknownOfArgumentAvg: 0.1766883437613563
0% 1% 2% 4% 5% 7% 8% 10% 11% 13% 14% 16% 17% 19% 20% 22% 23% 25% 26% 27% 29% 30% 32% 33% 35% 36% 38% 39% 41% 42% 44% 45% 47% 48% 50% 51% 52% 54% 55% 57% 58% 60% 61% 63% 64% 66% 67% 69% 70% 72% 73% 75% 76% 77% 79% 80% 82% 83% 85% 86% 88% 89% 91% 92% 94% 95% 97% 98% 
0% 31% 63% 94% 
threshold: 0.0, tpr:1.0, fpr: 1.0, acc:0.4462025316455696
threshold: 0.05, tpr:1.0, fpr: 0.9771428571428571, acc:0.4588607594936709
threshold: 0.1, tpr:1.0, fpr: 0.9657142857142857, acc:0.4651898734177215
threshold: 0.15000000000000002, tpr:1.0, fpr: 0.8514285714285714, acc:0.5284810126582279
threshold: 0.2, tpr:1.0, fpr: 0.6057142857142858, acc:0.6645569620253164
threshold: 0.25, tpr:1.0, fpr: 0.5942857142857143, acc:0.6708860759493671
threshold: 0.3, tpr:1.0, fpr: 0.44571428571428573, acc:0.7531645569620253
threshold: 0.35, tpr:1.0, fpr: 0.26857142857142857, acc:0.8512658227848101
threshold: 0.39999999999999997, tpr:1.0, fpr: 0.21142857142857144, acc:0.8829113924050633
threshold: 0.44999999999999996, tpr:0.9858156028368794, fpr: 0.12, acc:0.9272151898734177
threshold: 0.49999999999999994, tpr:0.9787234042553191, fpr: 0.12, acc:0.9240506329113924
threshold: 0.5499999999999999, tpr:0.7943262411347518, fpr: 0.011428571428571429, acc:0.9018987341772152
threshold: 0.6, tpr:0.7446808510638298, fpr: 0.011428571428571429, acc:0.879746835443038
threshold: 0.65, tpr:0.6099290780141844, fpr: 0.011428571428571429, acc:0.819620253164557
threshold: 0.7000000000000001, tpr:0.5106382978723404, fpr: 0.0, acc:0.7816455696202531
threshold: 0.7500000000000001, tpr:0.3900709219858156, fpr: 0.0, acc:0.7278481012658228
threshold: 0.8000000000000002, tpr:0.3262411347517731, fpr: 0.0, acc:0.6993670886075949
threshold: 0.8500000000000002, tpr:0.2624113475177305, fpr: 0.0, acc:0.6708860759493671
threshold: 0.9000000000000002, tpr:0.18439716312056736, fpr: 0.0, acc:0.6360759493670886
threshold: 0.9500000000000003, tpr:0.1773049645390071, fpr: 0.0, acc:0.6329113924050633
threshold: 1.0000000000000002, tpr:0.0, fpr: 0.0, acc:0.5537974683544303
